MAO	U	2003-01-31	Change name MAZATECO, IXCATLAN to MAZATEC, IXCATLAN		
MAQ	U	2003-01-31	Change name MAZATECO, CHIQUIHUITLAN to MAZATEC, CHIQUIHUITLAN		
MAT	U	2003-01-31	Change name MATLATZINCA, SAN FRANCISCO DE LOS RANCHOS to MATLATZINCA, SAN FRANCISCO		
MBZ	U	2003-01-31	Change name MIXTECO, AMOLTEPEC to MIXTEC, AMOLTEPEC		
MCC	U	2003-01-31	Change name MUTUM to BITUR		
MCE	U	2003-01-31	Change name MIXTECO, ITUNDUJIA to MIXTEC, ITUNDUJIA		
MDV	U	2003-01-31	Change name MIXTECO, SANTA LUCIA MONTEVERDE to MIXTEC, SANTA LUCIA MONTEVERDE		
MEH	U	2003-01-31	Change name MIXTECO, TLAXIACO SUROESTE to MIXTEC, SOUTHWESTERN TLAXIACO		
MIB	U	2003-01-31	Change name MIXTECO, ATATLAHUCA to MIXTEC, ATATLAHUCA		
MIE	U	2003-01-31	Change name MIXTECO, OCOTEPEC to MIXTEC, OCOTEPEC		
MIG	U	2003-01-31	Change name MIXTECO, SAN MIGUEL EL GRANDE to MIXTEC, SAN MIGUEL EL GRANDE		
MIH	U	2003-01-31	Change name MIXTECO, CHAYUCO to MIXTEC, CHAYUCO		
MII	U	2003-01-31	Change name MIXTECO, CHIGMECATITLAN to MIXTEC, CHIGMECATITLAN		
MIL	U	2003-01-31	Change name MIXTECO, PENOLES to MIXTEC, PENOLES		
MIM	U	2003-01-31	Change name MIXTECO, ALACATLATZALA to MIXTEC, ALACATLATZALA		
MIO	U	2003-01-31	Change name MIXTECO, PINOTEPA NACIONAL to MIXTEC, PINOTEPA NACIONAL		
MIP	U	2003-01-31	Change name MIXTECO, APASCO Y APOALA to MIXTEC, APASCO AND APOALA		
MIR	U	2003-01-31	Change name MIXE, ISTMO to MIXE, ISTHMUS		
MIS	U	2003-01-31	Change name MIXTECO, DIUXI-TILANTONGO to MIXTEC, DIUXI-TILANTONGO		
MIT	U	2003-01-31	Change name MIXTECO, PUEBLA SUR to MIXTEC, SOUTHERN PUEBLA		
MIU	U	2003-01-31	Change name MIXTECO, CACALOXTEPEC to MIXTEC, CACALOXTEPEC		
MIX	U	2003-01-31	Change name MIXTECO, MIXTEPEC to MIXTEC, MIXTEPEC		
MIY	U	2003-01-31	Change name MIXTECO, AYUTLA to MIXTEC, AYUTLA		
MIZ	U	2003-01-31	Change name MIXTECO, COATZOSPAN to MIXTEC, COATZOSPAN		
MJC	U	2003-01-31	Change name MIXTECO, SAN JUAN COLORADO to MIXTEC, SAN JUAN COLORADO		
MJN	U	2003-01-31	Change name MEBU to MA		
MKS	U	2003-01-31	Change name MIXTECO, SILACAYOAPAN to MIXTEC, SILACAYOAPAN		
MOS	U	2003-01-31	Change name  MIXTECO, TLAXIACO NORTE to MIXTEC, NORTHERN TLAXIACO		
MOT	U	2003-01-31	Change name MOTILON to BARI		
MPM	U	2003-01-31	Change name MIXTECO, YOSONDUA to MIXTEC, YOSONDUA		
MQH	U	2003-01-31	Change name  MIXTECO, TLAZOYALTEPEC to MIXTEC, TLAZOYALTEPEC		
MTU	U	2003-01-31	Change name MIXTECO, TUTUTEPEC to MIXTEC, TUTUTEPEC		
MTX	U	2003-01-31	Change name MIXTECO, TIDAA to MIXTEC, TIDAA		
MTZ	U	2003-01-31	Change name TACANECO to TACANEC		
MVG	U	2003-01-31	Change name MIXTECO, YUCUANE to MIXTEC, YUCUANE		
MWB	U	2003-01-31	Change name MUNIWARA to JUWAL		
MXA	U	2003-01-31	Change name MIXTECO, OAXACA NOROESTE to MIXTEC, NORTHWEST OAXACA		
MXB	U	2003-01-31	Change name MIXTECO, TEZOATLAN to MIXTEC, TEZOATLAN		
MXS	U	2003-01-31	Change name MIXTECO, HUITEPEC to MIXTEC, HUITEPEC		
MXT	U	2003-01-31	Change name MIXTECO, JAMILTEPEC to MIXTEC, JAMILTEPEC		
MXV	U	2003-01-31	Change name  MIXTECO, METLATONOC to MIXTEC, METLATONOC		
MXY	U	2003-01-31	Change name MIXTECO, NOCHIXTLAN SURESTE to MIXTEC, SOUTHEASTERN NOCHIXTLAN		
MZA	U	2003-01-31	Change name MIXTECO, SANTA MARIA ZACATEPEC to MIXTEC, SANTA MARIA ZACATEPEC		
MZZ	U	2003-01-31	Change name MAIADOM to MAIADOMU		
NAI	U	2003-01-31	Change name NAHUATL, HUASTECA ESTE to NAHUATL, EASTERN HUASTECA		
NAO	U	2003-01-31	Change name NAAPA to NAABA		
NAU	U	2003-01-31	Change name NAHUATL, ISTMO-MECAYAPAN to NAHUATL, ISTHMUS-MECAYAPAN		
NCJ	U	2003-01-31	Change name NAHUATL, PUEBLA NORTE to NAHUATL, NORTHERN PUEBLA		
NCM	U	2003-01-31	Change name ARUFE to NAMBO		
NCO	U	2003-01-31	Change name NAGOVISI to SIBE		
NCX	U	2003-01-31	Change name NAHUATL, PUEBLA CENTRAL to NAHUATL, CENTRAL PUEBLA		
NEX	U	2003-01-31	Change name NEMME to NEME		
NHK	U	2003-01-31	Change name NAHUATL, ISTMO-COSOLEACAQUE to NAHUATL, ISTHMUS-COSOLEACAQUE		
NHN	U	2003-01-31	Change name NAHUATL CENTRAL to NAHUATL, CENTRAL		
NHP	U	2003-01-31	Change name NAHUATL, ISTMO-PAJAPAN to NAHUATL, ISTHMUS-PAJAPAN		
NHS	U	2003-01-31	Change name NAHUATL, PUEBLA SURESTE to NAHUATL, SOUTHEASTERN PUEBLA		
NHW	U	2003-01-31	Change name NAHUATL, HUASTECA OESTE to NAHUATL, WESTERN HUASTECA 		
NHY	U	2003-01-31	Change name NAHUATL, OAXACA NORTE to NAHUATL, NORTHERN OAXACA		
NKB	U	2003-01-31	Change name NAGA, KHOIBU MARING to NAGA, KHOIBU		
NLK	U	2003-01-31	Change name YALI, SOUTHERN to YALI, NINIA		
NMX	U	2003-01-31	Change name NAMMA to NAMA		
NTP	U	2003-01-31	Change name TEPEHUAN NORTE to TEPEHUAN, NORTHERN		
OTM	U	2003-01-31	Change name OTOMI, SIERRA ORIENTAL to OTOMI, SIERRA		
OTS	U	2003-01-31	Change name OTOMI, ESTADO DE MEXICO to OTOMI, STATE OF MEXICO		
PBH	U	2003-01-31	Change name PANARE to EN~EPA		
PBS	U	2003-01-31	Change name PAME CENTRAL to PAME, CENTRAL		
PEI	U	2003-01-31	Change name CHICHIMECA-JONAZ to CHICHIMECA-JONAS		
PHA	U	2003-01-31	Change name BUNU, BAHENG to PA-HNG		
PMQ	U	2003-01-31	Change name PAME NORTE to PAME, NORTHERN		
PMZ	U	2003-01-31	Change name  PAME SUR to PAME, SOUTHERN		
PSA	U	2003-01-31	Change name AWYU, MIARO to AWYU, ASUE		
PUA	U	2003-01-31	Change name PUREPECHA, SIERRA OCCIDENTAL to PUREPECHA, WESTERN SIERRA		
PUG	U	2003-01-31	Change name PWIE to PHUIE		
QEA	U	2003-01-31	Change name QUECHUA, APURIMAC to QUECHUA, EASTERN APURIMAC		
QEG	U	2003-01-31	Change name QUECHUA, SAN RAFAEL-HUARIACA to QUECHUA, AMBO-PASCO		
QEJ	U	2003-01-31	Change name QUECHUA, HUANUCO, HUAMALIES-NORTHERN DOS DE MAYO to QUECHUA, HUANUCO, HUAMALIES-DOS DE MAYO		
QMB	U	2003-01-31	Change name MIXTECO, CHAZUMBA to MIXTEC, CHAZUMBA		
QMC	U	2003-01-31	Change name MIXTECO, SAN JUAN TEITA to MIXTEC, SAN JUAN TEITA		
QMG	U	2003-01-31	Change name MIXTECO, SAN MIGUEL PIEDRAS to MIXTEC, SAN MIGUEL PIEDRAS		
QMH	U	2003-01-31	Change name MIXTECO, SINDIHUI to MIXTEC, SINDIHUI		
QMI	U	2003-01-31	Change name MIXTECO, SINICAHUA to MIXTEC, SINICAHUA		
QMJ	U	2003-01-31	Change name MIXTECO, TIJALTEPEC to MIXTEC, TIJALTEPEC		
QMP	U	2003-01-31	Change name MIXTECO, MAGDALENA PENASCO to MIXTEC, MAGDALENA PENASCO		
QMT	U	2003-01-31	Change name MIXTECO, TACAHUA to MIXTEC, TACAHUA		
QMX	U	2003-01-31	Change name MIXTECO, ALCOZAUCA to MIXTEC, ALCOZAUCA		
QMY	U	2003-01-31	Change name MIXTECO, YOLOXOCHITL to MIXTEC, YOLOXOCHITL		
QMZ	U	2003-01-31	Change name MIXTECO, CUYAMECALCO to MIXTEC, CUYAMECALCO		
QQS	U	2003-01-31	Change name QUICHUA, HIGHLAND, TUNGURAHUA to QUICHUA, HIGHLAND, SALASACA		
QUZ	U	2003-01-31	Change name QUECHUA, CUZCO to QUECHUA, CUSCO		
RJB	U	2003-01-31	Change name RAJBANGSI to RAJBANSHI		
RRO	U	2003-01-31	Change name RORO to WAIMA		
SNX	U	2003-01-31	Change name SONGUM to SAM		
STP	U	2003-01-31	Change name TEPEHUAN SURESTE to TEPEHUAN, SOUTHEASTERN		
SUM	U	2003-01-31	Change name SUMO TAWAHKA to SUMO		
SWB	U	2003-01-31	Change name COMORIAN to SHIMAORE		
TAC	U	2003-01-31	Change name TARAHUMARA BAJA  to TARAHUMARA, BAJA		
TAR	U	2003-01-31	Change name TARAHUMARA CENTRAL to TARAHUMARA, CENTRAL		
TCF	U	2003-01-31	Change name TLAPANECO, MALINALTEPEC to TLAPANEC, MALINALTEPEC		
TCU	U	2003-01-31	Change name TARAHUMARA SURESTE to TARAHUMARA, SOUTHEASTERN		
THH	U	2003-01-31	Change name TARAHUMARA NORTE to TARAHUMARA, NORTHERN		
THW	U	2003-01-31	Change name THUDAM BHOTE to THUDAM		
TLA	U	2003-01-31	Change name TEPEHUAN SUROESTE to TEPEHUAN, SOUTHWESTERN		
TLC	U	2003-01-31	Change name TOTONACA, YECUATLA to TOTONAC, YECUATLA 		
TLP	U	2003-01-31	Change name TOTONACA, FILOMENO MATA-COAHUITLAN to TOTONAC, FILOMENO MATA-COAHUITLAN		
TOC	U	2003-01-31	Change name TOTONACA, COYUTLA to TOTONAC, COYUTLA		
